94adccba-8099-49d9-937a-0051c782438c 304 ::1 GET /call-logs 159.396 [Mon, 11 Oct 2021 09:11:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
acd54229-d112-4d3f-82f6-2a87bc53ff69 200 ::1 GET / 96.252 [Tue, 12 Oct 2021 10:41:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
41b6b67b-d018-4100-9e2e-0945626b7b94 200 ::1 GET / 105.336 [Tue, 12 Oct 2021 10:44:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
740fda73-9f0a-4f45-9561-aebe703fa25a 200 ::ffff:127.0.0.1 GET / 48.805 [Tue, 12 Oct 2021 10:46:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
ede672e0-642c-41ba-ab22-fca37d3ad2aa 200 ::1 GET / 49.792 [Tue, 12 Oct 2021 10:47:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
67ec6767-369a-41d3-ae8f-75d1692505b9 200 ::1 GET / 76.855 [Tue, 12 Oct 2021 10:59:38 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
d6dfffc0-f4cb-40ad-b907-08492e261c38 200 ::1 GET / 114.338 [Tue, 12 Oct 2021 11:03:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
bbead7fd-6cf1-41ca-92b7-c4fc4b3c0870 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 9.837 [Tue, 12 Oct 2021 11:04:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
65097b0b-1891-4c00-ab01-a16e8a74b43f 200 ::ffff:127.0.0.1 GET / 82.498 [Tue, 12 Oct 2021 11:07:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
2051141a-8a52-49b2-b189-c96d8f778223 404 ::ffff:127.0.0.1 GET /bootstrap/js/bootstrap.bundle.min.js.map 8.607 [Tue, 12 Oct 2021 11:07:53 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
85b68a70-50a9-4e44-9995-5ac1e18452f7 200 ::1 GET / 50.392 [Tue, 12 Oct 2021 11:11:08 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
