2f62eddd-088d-4d26-b8f8-5bf98f7d74b7 200 ::1 GET / 166.733 [Wed, 20 Oct 2021 08:41:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
65ced197-85b2-4266-acec-26e09661a892 302 ::1 POST /login 312.387 [Wed, 20 Oct 2021 08:41:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
c93cfed5-9b2d-430a-a2df-c033ee04e09f 200 ::1 GET /dashboard 23.026 [Wed, 20 Oct 2021 08:41:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
9fd06357-3ad1-475b-8f10-a99fa3abcce2 200 ::1 POST /getLog 9339.924 [Wed, 20 Oct 2021 08:42:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
0547dc54-6045-4de5-b545-c96a5231532a 200 ::1 POST /getLog 7654.794 [Wed, 20 Oct 2021 08:42:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
51e3b78e-7045-4060-8f01-dff5e6d1ec4a 500 ::1 GET /getLog 52.902 [Wed, 20 Oct 2021 08:53:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
3d82d76b-317b-48a0-a416-8f3327311390 200 ::1 GET /getLog 51.106 [Wed, 20 Oct 2021 08:56:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
f43f946c-8e35-4f6b-b5f6-4e15c0415422 500 ::1 POST /generateLogs 53454.971 [Wed, 20 Oct 2021 08:57:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
3d992bb2-f8bf-41d3-b8da-5c7fc6dc2cd9 500 ::1 GET /generateLogs 37.984 [Wed, 20 Oct 2021 08:59:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
73ec204b-3d6a-466b-8797-f1218ba93487 304 ::1 GET /getLog 90.058 [Wed, 20 Oct 2021 09:00:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7de2ed6b-e514-41ff-a760-1fe66f0849f4 302 ::1 POST /generateLogs 48792.277 [Wed, 20 Oct 2021 09:01:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
550f0e09-9a77-4596-a2cc-9f56a822c583 500 ::1 GET /dashboard 48522.734 [Wed, 20 Oct 2021 09:02:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
de2e293f-2223-4dc1-b934-5c1bbced2c5a 200 ::1 GET / 82.042 [Wed, 20 Oct 2021 09:04:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
726a0e65-5e32-489f-8da5-034709f1f45e 302 ::1 POST /login 405.118 [Wed, 20 Oct 2021 09:04:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
31f90e91-4a83-44a7-b1ac-e30de9d7f9b0 200 ::1 GET /dashboard 41.052 [Wed, 20 Oct 2021 09:04:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
